iter	Passed	Remaining
0	306	306579
1	496	247993
2	603	200477
3	749	186749
4	839	166984
5	969	160674
6	1084	15390977	1271	15769688	1428	15733599	1585	157010
10	1683	151331
11	1813	149286
12	1920	145836
13	2042	143861
14	2223	145983
15	2391	147063
16	2495	144302
17	2606	142193
18	2714	140148
19	2838	139100
20	2928	136501
21	3021	134308222	3184	135274
23	3311	134670
24	3456	134801
25	3537	132529226	3640	131210227	3784	131368228	3932	131662
29	4093	132340
30	4173	130454
31	4263	128958332	4413	129321
33	4502	127935334	4615	127246335	4758	127415
36	4979	129591337	5072	128402338	5204	128254339	5322	127734440	5429	127005441	5554	126697442	5658	125927443	5783	125661444	5905	125327445	6012	124701446	6169	125101447	6336	125669448	6455	125288449	6621	125809550	6701	124704551	6855	124976552	6954	124268553	7104	124454554	7205	123804555	7374	124319
56	7496	124028557	7625	123844
58	7715	123051559	7836	122773660	7958	122510
61	8097	122501662	8202	121989663	8286	121185664	8419	121115665	8581	121438666	8729	121567667	8889	121836
68	8998	121413
69	9082	120669770	9196	120334771	9336	120332772	9441	119888773	9562	119654774	9706	119719
75	9779	118896776	9910	118798777	10028	118547878	10151	118347979	10253	117918080	10376	117728181	10501	117568282	10608	1172083	10737	11708588484	10888	117218585	10994	116888686	11110	1166887	11261	116712
88	11376	116447
89	11496	11624499090	11639	1162691	11766	116130
92	11889	115958
93	12014	115804
94	12178	116014
95	12320	116017
96	12427	115692
97	12520	115236
98	12659	115217
99	12819	115377
100	12963	115384
101	13089	115236
102	13209	115035
103	13381	115283
104	13492	115004
105	13625	114918
106	13720	114510
107	13837	114290
108	13977	114254
109	14137	114385
110	14324	114722
111	14475	114772
112	14616	114732
113	14754	114673
114	14881	114526
115	15028	114530
116	15141	114275
117	15293	114313
118	15415	114129
119	15531	113894
120	15662	113776
121	15782	113579
122	15893	113321
123	16018	113159
124	16125	112878
125	16235	112617
126	16320	112185
127	16432	111945
128	16575	111919
129	16707	111810
130	16813	111536
131	16965	111562
132	17052	111162
133	17185	111061
134	17304	110874
135	17404	110572
136	17486	110151
137	17611	110010
138	17713	109724
139	17858	109701
140	17958	109406
141	18111	109431
142	18265	109465
143	18377	109244
144	18503	109104
145	18599	108793
146	18707	108556
147	18844	108485
148	18967	108329
149	19100	108234
150	19244	108199
151	19382	108134
152	19510	108009
153	19666	108037
154	19815	108025
155	19885	107584
156	20043	107622
157	20123	107241
158	20307	107413
159	20414	107177
160	20510	106884
161	20647	106804
162	20768	106644
163	20883	106453
164	20992	106236
165	21110	106061
166	21196	105730
167	21349	105730
168	21450	105476
169	21586	105390
170	21712	105261
171	21828	105082
172	21939	104879
173	22050	104676
174	22160	1044731175	22256	1042021176	22354	1039411177	22484	1038321178	22597	1036431179	22724	103520
180	22857	103429
181	22975	103261
182	23108	103167
183	23231	103024
184	23365	102934
185	23517	102922
186	23599	102603
187	23742	102546
188	23866	102409
189	24019	102396
190	24139	102244
191	24279	102174
192	24352	101824
193	24508	101823
194	24632	101686
195	24719	101399
196	24824	101188
197	24990	101225
198	25077	100941
199	25189	100759
20200	25305	1005920201	25441	1005020202	25573	1004020203	25665	1001204204	25783	999205205	25904	998206	26052	99805
207	26137	99521
208	26317	99603
209	26422	99400
210	26559	99315
211	26658	99090
212	26808	99053
213	26919	98871
214	27058	98794
215	27159	98579
216	27284	98450
217	27375	98199
218	27510	98109
219	27650	98034
220220	27784	979221221	27914	978222	28057	97759
223	28199	97692
224	28311	97518
225	28397	97256
226	28613	97436
227	28696	97165
228	28786	96917
229	28950	96920
230	29042	96683
231	29164	96543
232	29314	96498
233	29387	96201
234	29478	95961
235	29619	95886
236	29746	95766
237	29886	95688
238	29999	95522
239	30112	95356
